SITE,STAGE,TRANSECT_POINT,NORTHING,EASTING,ENVIRON,DIST_FPL,LOCATION,CAT_Z,CLASS_Z,ACTUAL_Z,FP_Z,DATE,D13C_CH4,D13C_CO2,WATER_T,KH_O2,DT_DZ,WATER_TK,COND,PH,WIND_ONSITE,ORP,REDOX_ORP,CHL,O2_PERCENT,O2,DO2_DZ,DIC,PCO2,DPCO2_DZ,PCH4,DPCH4_DZ,PN2O,KH_PCO2,KH_PCH4,KH_PN2O,D13C_DIC,D18O_O2,O2_Ar,MOX,MPROD,MCARB,INUN_T
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,5,Bottom,3,4,10/4/15 0:00,-53.265,-45.248,29.39,1.18078,-0.278803172,302.54,0.01,6.28,1.5,-229.2,Sulfate reduction,10.2,3.1,0.23,-0.875666907,NA,8281.42,1462.430994,23217.58,7561.995302,NA,0.03025599,0.001315,0.021465288,-16.3,25.67,3.94,-45.12,-45.12,-33.78,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,5,Bottom,3,4,10/4/15 0:00,-54.325,-47.243,29.39,1.18078,-0.278803172,302.54,0.01,6.28,1.5,-229.2,Sulfate reduction,10.2,3.1,0.23,-0.875666907,NA,8532.93,1462.430994,24440.94,7561.995302,NA,0.03025599,0.001315,0.021465288,-18.02,26.47,4.21,-25.11,-25.11,-18.8,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,5,Bottom,3,4,10/4/15 0:00,-53.354,-46.976,29.39,1.18078,-0.278803172,302.54,0.01,6.28,1.5,-229.2,Sulfate reduction,10.2,3.1,0.23,-0.875666907,NA,8907.524,1462.430994,29647.5,7561.995302,NA,0.03025599,0.001315,0.021465288,-16.92,25.26,4.37,-44.65,-44.65,-33.44,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,6,Sediment,4,4,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43,43.69,32.71,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,6,Sediment,4,4,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,24.77,18.55,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,6,Sediment,4,4,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38,44.27,33.15,310
AnRe.3,High,3,12.64567,101.14134,Floodplain,1100,Central,1,Surface,0.1,1.75,10/4/15 0:00,-46.428,-65.762,28.94,1.1982,-0.150704225,302.09,0.006,6.34,1.5,-107,Sulfate reduction,10.6,5.4,0.41,-0.08878577,NA,7109.599,1882.626741,40959.44,-3005.893993,NA,0.030602051,0.001325,0.021726615,NA,NA,NA,2.58,2.58,1.93,251
AnRe.3,High,3,12.64567,101.14134,Floodplain,1100,Central,1,Surface,0.1,1.75,10/4/15 0:00,-46.522,-61.332,28.94,1.1982,-0.150704225,302.09,0.006,6.34,1.5,-107,Sulfate reduction,10.6,5.4,0.41,-0.08878577,NA,6494.797,1882.626741,40694.73,-3005.893993,NA,0.030602051,0.001325,0.021726615,NA,NA,NA,-1.7,-1.7,-1.27,251
AnRe.3,High,3,12.64567,101.14134,Floodplain,1100,Central,1,Surface,0.1,1.75,10/4/15 0:00,-46.391,-59.901,28.94,1.1982,-0.150704225,302.09,0.006,6.34,1.5,-107,Sulfate reduction,10.6,5.4,0.41,-0.08878577,NA,6513.403,1882.626741,39609.71,-3005.893993,NA,0.030602051,0.001325,0.021726615,NA,NA,NA,-2.27,-2.27,-1.7,251
AnRe.3,High,3,12.64567,101.14134,Floodplain,1100,Central,2,NA,0.25,1.75,10/4/15 0:00,-47.251,-56.418,28.85,1.1982,-0.150704225,302,0.006,6.17,1.5,-151.3,Sulfate reduction,9.4,4.6,0.35,-0.08878577,NA,7901.456,1882.626741,24898.87,-3005.893993,NA,0.030672044,0.001327,0.021779478,NA,NA,NA,NA,NA,NA,251
