"","f1","f2","f3","f4","f5","f6","f7","f8"
"174",0,0,0,0.1,0.2,0.2,0.25,0.25
"175",0,0,0,0.15,0.15,0.15,0.15,0.4
"176",0,0,0,0.15,0.15,0.15,0.25,0.3
"177",0,0,0,0.15,0.15,0.2,0.2,0.3
"178",0,0,0,0.15,0.15,0.2,0.25,0.25
"179",0,0,0,0.15,0.2,0.2,0.2,0.25
"180",0,0,0,0.2,0.2,0.2,0.2,0.2
"181",0,0,0.05,0.05,0.05,0.05,0.05,0.75
"182",0,0,0.05,0.05,0.05,0.05,0.1,0.7
"183",0,0,0.05,0.05,0.05,0.05,0.15,0.65
"184",0,0,0.05,0.05,0.05,0.05,0.2,0.6
"185",0,0,0.05,0.05,0.05,0.05,0.25,0.55
"186",0,0,0.05,0.05,0.05,0.05,0.3,0.5
"187",0,0,0.05,0.05,0.05,0.05,0.35,0.45
"188",0,0,0.05,0.05,0.05,0.05,0.4,0.4
"189",0,0,0.05,0.05,0.05,0.1,0.1,0.65
"190",0,0,0.05,0.05,0.05,0.1,0.15,0.6
"191",0,0,0.05,0.05,0.05,0.1,0.2,0.55
"192",0,0,0.05,0.05,0.05,0.1,0.25,0.5
"193",0,0,0.05,0.05,0.05,0.1,0.3,0.45
"194",0,0,0.05,0.05,0.05,0.1,0.35,0.4
"195",0,0,0.05,0.05,0.05,0.15,0.15,0.55
"196",0,0,0.05,0.05,0.05,0.15,0.2,0.5
"197",0,0,0.05,0.05,0.05,0.15,0.25,0.45
"198",0,0,0.05,0.05,0.05,0.15,0.3,0.4
"199",0,0,0.05,0.05,0.05,0.2,0.2,0.45
"200",0,0,0.05,0.05,0.05,0.2,0.25,0.4
"201",0,0,0.05,0.05,0.05,0.25,0.25,0.35
"202",0,0,0.05,0.05,0.05,0.25,0.3,0.3
"203",0,0,0.05,0.05,0.1,0.1,0.1,0.6
"204",0,0,0.05,0.05,0.1,0.1,0.15,0.55
"205",0,0,0.05,0.05,0.1,0.1,0.2,0.5
"206",0,0,0.05,0.05,0.1,0.1,0.25,0.45
"207",0,0,0.05,0.05,0.1,0.1,0.3,0.4
"208",0,0,0.05,0.05,0.1,0.15,0.15,0.5
"209",0,0,0.05,0.05,0.1,0.15,0.2,0.45
"210",0,0,0.05,0.05,0.1,0.15,0.25,0.4
"211",0,0,0.05,0.05,0.1,0.2,0.2,0.4
"212",0,0,0.05,0.05,0.1,0.2,0.25,0.35
"213",0,0,0.05,0.05,0.1,0.2,0.3,0.3
"214",0,0,0.05,0.05,0.1,0.25,0.25,0.3
"215",0,0,0.05,0.05,0.15,0.15,0.15,0.45
"216",0,0,0.05,0.05,0.15,0.15,0.2,0.4
"217",0,0,0.05,0.05,0.15,0.15,0.25,0.35
"218",0,0,0.05,0.05,0.15,0.15,0.3,0.3
"219",0,0,0.05,0.05,0.15,0.2,0.2,0.35
"220",0,0,0.05,0.05,0.15,0.2,0.25,0.3
"221",0,0,0.05,0.05,0.15,0.25,0.25,0.25
"222",0,0,0.05,0.05,0.2,0.2,0.2,0.3
"223",0,0,0.05,0.05,0.2,0.2,0.25,0.25
"224",0,0,0.05,0.1,0.1,0.1,0.1,0.55
"225",0,0,0.05,0.1,0.1,0.1,0.15,0.5
"226",0,0,0.05,0.1,0.1,0.1,0.2,0.45
"227",0,0,0.05,0.1,0.1,0.1,0.25,0.4
"228",0,0,0.05,0.1,0.1,0.1,0.3,0.35
"229",0,0,0.05,0.1,0.1,0.15,0.15,0.45
"230",0,0,0.05,0.1,0.1,0.15,0.2,0.4
"231",0,0,0.05,0.1,0.1,0.15,0.25,0.35
"232",0,0,0.05,0.1,0.1,0.15,0.3,0.3
"233",0,0,0.05,0.1,0.1,0.2,0.2,0.35
"234",0,0,0.05,0.1,0.1,0.2,0.25,0.3
"235",0,0,0.05,0.1,0.1,0.25,0.25,0.25
"236",0,0,0.05,0.1,0.15,0.15,0.15,0.4
"237",0,0,0.05,0.1,0.15,0.15,0.25,0.3
"238",0,0,0.05,0.1,0.15,0.2,0.2,0.3
"239",0,0,0.05,0.1,0.15,0.2,0.25,0.25
"240",0,0,0.05,0.1,0.2,0.2,0.2,0.25
"241",0,0,0.05,0.15,0.15,0.15,0.15,0.35
"242",0,0,0.05,0.15,0.15,0.15,0.2,0.3
"243",0,0,0.05,0.15,0.15,0.15,0.25,0.25
"244",0,0,0.05,0.15,0.15,0.2,0.2,0.25
"245",0,0,0.05,0.15,0.2,0.2,0.2,0.2
"246",0,0,0.1,0.1,0.1,0.1,0.1,0.5
"247",0,0,0.1,0.1,0.1,0.1,0.15,0.45
"248",0,0,0.1,0.1,0.1,0.1,0.2,0.4
"249",0,0,0.1,0.1,0.1,0.1,0.25,0.35
"250",0,0,0.1,0.1,0.1,0.1,0.3,0.3
"251",0,0,0.1,0.1,0.1,0.15,0.15,0.4
"252",0,0,0.1,0.1,0.1,0.15,0.25,0.3
"253",0,0,0.1,0.1,0.1,0.2,0.2,0.3
"254",0,0,0.1,0.1,0.1,0.2,0.25,0.25
"255",0,0,0.1,0.1,0.15,0.15,0.15,0.35
"256",0,0,0.1,0.1,0.15,0.15,0.2,0.3
"257",0,0,0.1,0.1,0.15,0.15,0.25,0.25
"258",0,0,0.1,0.1,0.15,0.2,0.2,0.25
"259",0,0,0.1,0.1,0.2,0.2,0.2,0.2
"260",0,0,0.1,0.15,0.15,0.15,0.15,0.3
"261",0,0,0.1,0.15,0.15,0.15,0.2,0.25
"262",0,0,0.1,0.15,0.15,0.2,0.2,0.2
"263",0,0,0.15,0.15,0.15,0.15,0.15,0.25
"264",0,0,0.15,0.15,0.15,0.15,0.2,0.2
"265",0,0.05,0.05,0.05,0.05,0.05,0.05,0.7
"266",0,0.05,0.05,0.05,0.05,0.05,0.1,0.65
"267",0,0.05,0.05,0.05,0.05,0.05,0.15,0.6
"268",0,0.05,0.05,0.05,0.05,0.05,0.2,0.55
"269",0,0.05,0.05,0.05,0.05,0.05,0.25,0.5
"270",0,0.05,0.05,0.05,0.05,0.05,0.3,0.45
"271",0,0.05,0.05,0.05,0.05,0.05,0.35,0.4
"272",0,0.05,0.05,0.05,0.05,0.1,0.1,0.6
"273",0,0.05,0.05,0.05,0.05,0.1,0.15,0.55
"274",0,0.05,0.05,0.05,0.05,0.1,0.2,0.5
"275",0,0.05,0.05,0.05,0.05,0.1,0.25,0.45
"276",0,0.05,0.05,0.05,0.05,0.1,0.3,0.4
"277",0,0.05,0.05,0.05,0.05,0.15,0.15,0.5
"278",0,0.05,0.05,0.05,0.05,0.15,0.2,0.45
"279",0,0.05,0.05,0.05,0.05,0.15,0.25,0.4
"280",0,0.05,0.05,0.05,0.05,0.2,0.2,0.4
"281",0,0.05,0.05,0.05,0.05,0.2,0.25,0.35
"282",0,0.05,0.05,0.05,0.05,0.2,0.3,0.3
"283",0,0.05,0.05,0.05,0.05,0.25,0.25,0.3
"284",0,0.05,0.05,0.05,0.1,0.1,0.1,0.55
"285",0,0.05,0.05,0.05,0.1,0.1,0.15,0.5
"286",0,0.05,0.05,0.05,0.1,0.1,0.2,0.45
"287",0,0.05,0.05,0.05,0.1,0.1,0.25,0.4
"288",0,0.05,0.05,0.05,0.1,0.1,0.3,0.35
"289",0,0.05,0.05,0.05,0.1,0.15,0.15,0.45
"290",0,0.05,0.05,0.05,0.1,0.15,0.2,0.4
"291",0,0.05,0.05,0.05,0.1,0.15,0.25,0.35
"292",0,0.05,0.05,0.05,0.1,0.15,0.3,0.3
"293",0,0.05,0.05,0.05,0.1,0.2,0.2,0.35
"294",0,0.05,0.05,0.05,0.1,0.2,0.25,0.3
"295",0,0.05,0.05,0.05,0.1,0.25,0.25,0.25
"296",0,0.05,0.05,0.05,0.15,0.15,0.15,0.4
"297",0,0.05,0.05,0.05,0.15,0.15,0.25,0.3
"298",0,0.05,0.05,0.05,0.15,0.2,0.2,0.3
"299",0,0.05,0.05,0.05,0.15,0.2,0.25,0.25
"300",0,0.05,0.05,0.05,0.2,0.2,0.2,0.25
"301",0,0.05,0.05,0.1,0.1,0.1,0.1,0.5
"302",0,0.05,0.05,0.1,0.1,0.1,0.15,0.45
"303",0,0.05,0.05,0.1,0.1,0.1,0.2,0.4
"304",0,0.05,0.05,0.1,0.1,0.1,0.25,0.35
"305",0,0.05,0.05,0.1,0.1,0.1,0.3,0.3
"306",0,0.05,0.05,0.1,0.1,0.15,0.15,0.4
"307",0,0.05,0.05,0.1,0.1,0.15,0.25,0.3
"308",0,0.05,0.05,0.1,0.1,0.2,0.2,0.3
"309",0,0.05,0.05,0.1,0.1,0.2,0.25,0.25
"310",0,0.05,0.05,0.1,0.15,0.15,0.15,0.35
"311",0,0.05,0.05,0.1,0.15,0.15,0.2,0.3
"312",0,0.05,0.05,0.1,0.15,0.15,0.25,0.25
"313",0,0.05,0.05,0.1,0.15,0.2,0.2,0.25
"314",0,0.05,0.05,0.1,0.2,0.2,0.2,0.2
"315",0,0.05,0.05,0.15,0.15,0.15,0.15,0.3
"316",0,0.05,0.05,0.15,0.15,0.15,0.2,0.25
"317",0,0.05,0.05,0.15,0.15,0.2,0.2,0.2
"318",0,0.05,0.1,0.1,0.1,0.1,0.1,0.45
"319",0,0.05,0.1,0.1,0.1,0.1,0.15,0.4
"320",0,0.05,0.1,0.1,0.1,0.1,0.2,0.35
"321",0,0.05,0.1,0.1,0.1,0.1,0.25,0.3
"322",0,0.05,0.1,0.1,0.1,0.15,0.15,0.35
"323",0,0.05,0.1,0.1,0.1,0.15,0.2,0.3
"324",0,0.05,0.1,0.1,0.1,0.15,0.25,0.25
"325",0,0.05,0.1,0.1,0.1,0.2,0.2,0.25
"326",0,0.05,0.1,0.1,0.15,0.15,0.15,0.3
"327",0,0.05,0.1,0.1,0.15,0.15,0.2,0.25
"328",0,0.05,0.1,0.1,0.15,0.2,0.2,0.2
"329",0,0.05,0.1,0.15,0.15,0.15,0.15,0.25
"330",0,0.05,0.1,0.15,0.15,0.15,0.2,0.2
"331",0,0.05,0.15,0.15,0.15,0.15,0.15,0.2
"332",0,0.1,0.1,0.1,0.1,0.1,0.1,0.4
"333",0,0.1,0.1,0.1,0.1,0.1,0.15,0.35
"334",0,0.1,0.1,0.1,0.1,0.1,0.2,0.3
